Question,Answer
What are the key features of Hagia Sophia?,This Istanbul sight is also known as the Church of the holy wisdom or Church of the divine wisdom. It’s one of the world’s greatest monuments. Its 32 metres main dome with two semidomes on either side or the three aisles supported with great marbles and galleries rising to the dome are to be seen and discover!
What is the most famous story about the Galata Tower?,"There’s been many tales and stories about the Galata Tower, and one of the most famous among them is about legendary Hezaffen Ahmet Celebi."
What can tourists find in the Spice Market?,"It’s an eye candy market for spices lovers where vividly coloured spices lay in the shops. Though it’s named as the spice market, yet you can find more than other things apart from spices such as honey, nuts, local dried herbs, caviar and dried fruits. But again, the market still surprises you with gift shops where they have edible souvenirs!"
How is the Ethnography Museum of Ankara unique?,"It’s one of Ankara tourist attractions as it’s the only museum of ethnography in Turkey, and most of its relics are dedicated to the cultures of the Turks."
Why is Cappadocia described as looking like it's been plucked from a fairytale world?,"The hails, surreal swooping rock valleys and cliff ridges are home wavy rocks or wacky shaped pinnacles that have been formed by nature itself."
Why is it important to stand in Mount Nemrut and to see these remnants?,"It a wired and lonely attraction in Turkey, but to stand here and see all these remnants makes you wonder about this most peculiar archaeological sites."
When was Miniaturk Park built and what types of attractions are featured in this park?,This question cannot be answered based on the given document.
Where is Cherrapunjee located?,Cherrapunjee is located in Meghalaya.
What is Cherrapunjee also known as?,Cherrapunjee is also known as Sohra.
What are the living root bridges an ode to?,The living root bridges are an ode to the harmony between nature and human innovation.
How did the Khasi clan build the living root bridges?,The elders of the Khasi clan built the bridges by placing rubber tree roots into the hollow Canes of Areca Nut Palms until they intertwined across streams and became strong enough to bear humanity's weight.
Why was the double-decker living root bridge made to be multi-storeyed?,The double-decker living root bridge was made multi-storeyed because the river rose high one season and covered the original bridge.
What is the air in Cherrapunjee said to smell like?,The air in Cherrapunjee smells of petrichor.
How long ago did the Khasi clan begin to build the living root bridges?,The Khasi clan began to build the living root bridges over 180 years ago.
What kind of fields cling to the steep slopes of Cherrapunjee?,Emerald-green terraced fields cling to steep slopes.
What happens to streets and rooftops during Cherrapunjee's legendary monsoons?,"During Cherrapunjee's legendary monsoons, streets turn into rivulets and rooftops into waterfalls."
What is the average rainfall in Cherrapunjee per year?,This question cannot be answered based on the given document.
What is Amritsar known as?,Amritsar is known as the spiritual and cultural capital of Punjab.
Name a significant landmark located in Amritsar.,The Golden Temple is a significant landmark in Amritsar.
What is the significance of Jallianwala Bagh in Amritsar?,Jallianwala Bagh is a memorial to those who lost their lives due to open-fire orders given by General Dyer.
What makes Amritsar a city that must be experienced?,"Amritsar's spirit is resilient, passionate, and ever-welcoming, which makes it a city that must be experienced to be truly understood. It also includes sites like Jallianwala Bagh and the Wagah Border."
"Who built the Bibeksar Sarovar, and what does it reflect?",Guru Hargobind Sahib built the Bibeksar Sarovar. It reflects his dedication to peace and community.
Who was Baba Budha Ji?,Baba Budha Ji was the first head priest of Harmandir Sahib.
What is the meaning of 'Lohgarh'?,'Lohgarh' means 'iron fort'.
Why is Gurudwara Chheharta Sahib named as such?,Gurudwara Chheharta Sahib is named after a large well surrounded by six Persian wheels that pull water more quickly.
What did Mahatma Gandhi declare after the Jallianwala Bagh massacre?,"After the Jallianwala Bagh massacre, Mahatma Gandhi declared, ""The impossible men of India shall rise and liberate their motherland""."
What can visitors see at Gobindgarh Fort?,"Visitors can see exhibits and shows related to Punjab's history, including Toshakhana (a coin museum with a Kohinoor replica), 'Whispering Walls' night show, and a 7D show on Maharaja Ranjit Singh."
What is the significance of the Dukh Bhanjani Ber Tree?,It is believed that Guru Nanak Dev Ji slept at this holy spot while singing Gurbani in profound devotion to Waheguru.
What kind of experiences does Sadda Pind offer?,"Sadda Pind offers a journey back in time, immersing visitors in the rich heritage and traditions of rural Punjab, including folk dances, artisan workshops, and traditional crafts."
"Who is Gurudwara Bibi Kaulan Ji named after, and why is she significant?","The gurudwara is named after Bibi Kaulan, a devoted disciple of Guru Har Gobind, known for her passionate kirtans. She was rescued by Sai Mian Meer Ji from being sentenced to death by her father for her devotion to Guru Hargobind Ji."
"Who built Sarai Amanat Khan, and what is it known for?","Sarai Amanat Khan was built by Amanat Khan as a memorial to his brother, Afzal Khan. It is famous for its glazed tile decoration, ornamental gateways, and a mosque adorned with Arabic inscriptions."
What is the purpose of the Punjab State War Heroes Memorial and Museum?,The memorial and museum serve as a tribute to those who sacrificed their lives in service of the nation and preserve the memory of Punjab's brave sons and daughters who fought in defence of their homeland.
What architectural feature does Durgiana Temple share with the Golden Temple?,"Durgiana Temple's architectural magnificence draws parallels with the Golden Temple. In fact, you won't be able to tell the difference at all."
"When was Gurudwara Guru Ka Mahal built, and what was its original purpose?",Gurudwara Guru Ka Mahal was built in 1573 AD by Guru Ram Das Ji. It was originally a humble dwelling.
Why is Gurudwara Baba Deep Singh Ji remembered as Shahidan Sahib?,"Gurudwara Baba Deep Singh is remembered as Shahidan Sahib (Shrine of the Martyr) because it commemorates the unparalleled courage of Baba Deep Singh Ji, a Sikh warrior who defended the Golden Temple."
"What is the Golden Temple's dome covered with, and what does the name Harmandir Sahib mean?","The Golden Temple's dome is covered with 400 kilograms of pure gold leaf. Harmandir Sahib comes from ‘Harmandir’ derived from ‘Hari’, signifying God, and ‘mandir’, meaning temple."
"Who renovated Ram Bagh Garden, and in whose honor was it named?",Maharaja Ranjit Singh renovated Ram Bagh Garden and named it in honor of Guru Ram Das Ji.
"Who is the central figure at Ram Tirath Temple, and what significance does the location hold?","The central figure at Ram Tirath Temple is Sage Valmiki, with an 8-foot-tall gold-plated idol. The location is believed to be the site of Sage Valmiki's ashram, where Goddess Sita gave birth to Luv and Kush."
Why did Guru Amar Das ask Bhai Amar Das to help Goinda?,"Guru Amar Das asked Bhai Amar Das to help Goinda because none of the Guru's sons agreed to settle in the village Goinda wanted to establish, due to natural calamities."
What is the historical significance of Khairuddin Masjid?,Shah Attaullah Bukhari issued a call to arms against British rule from the pulpit of Khairuddin Masjid.
What did Maharaja Ranjit Singh do to assert the flag of independence?,"Maharaja Ranjit Singh became the first monarch in the province to assert the flag of independence, symbolising Punjab's defiance against colonial rule."
What can be seen at the ISKCON Temple?,This question cannot be answered based on the given document.
What is the story behind the name Pul Kanjari?,"'Pul' means the bridge that was commissioned by Maharaja Ranjit Singh for Moran's ease of passage across canals, while 'Kanjari' was used to address dancers in those days."
What happens during the 'lowering of the flags' ceremony at the Attari-Wagah Border?,"The ceremony commences with a parade by Indian and Pakistani soldiers, culminating in the synchronized lowering of the national flags. A brief exchange of handshakes between soldiers signals the ceremony's conclusion, marked by the gates' closure."
Which rivers converge at the Harike Wetland and Bird Sanctuary?,The rivers Beas and Sutlej converge at the Harike Wetland and Bird Sanctuary.
Why is the Mata Lal Devi Temple significant for women?,The Mata Lal Devi Temple in Amritsar holds a special significance for women wishing to start families.
"Where is the Partition Museum located, and what does it aim to portray?",The Partition Museum is located in Amritsar's town hall. It strives to portray the human experience with a significant collection of artifacts donated by survivors and their families.
What is the capital of India?,This question cannot be answered based on the given document.
How does the Golden Temple differ from other religious sites in Amritsar?,This question cannot be answered based on the given document.
Why did Maharaja Ranjit Singh marry Moran?,This question cannot be answered based on the given document.
How big is Amritsar?,This question cannot be answered based on the given document.
What is Diu known for?,"Diu is known for being a mesmerising combination of sun, sand, and history."
Which body of water borders Diu?,The Arabian Sea borders Diu.
What makes Ghoghla Beach special?,"Ghoghla Beach is recognized as one of the cleanest and most environmentally responsible beaches in the world, earning it Blue Flag certification."
What is the INS Khukri Memorial a symbol of?,The INS Khukri Memorial is a symbol of courage and honour shown by Indian Navy sailors during the 1971 Indo-Pakistan War.
Why should a visitor go to Diu Museum?,"A visitor should go to the Diu Museum to explore the history and culture of Diu and to see collections ranging from intricate carvings to ancient coins, pottery, and textiles."
Describe the significance of the Zampa Gateway.,"The Zampa Gateway, also known as the Diu Fort Gate, is a symbol of Diu's rich history and Portuguese heritage, showcasing intricate architecture combining Indian and European styles."
What is St. Paul's Church also known as?,St. Paul's Church is also known as the Church of Immaculate Conception.
How did the Portuguese use the Naida Caves?,"According to legend, the Portuguese extracted building materials from the Naida Caves to construct the Diu Fort."
What makes Chakratirth Beach a unique location?,Chakratirth Beach is renowned as one of the places in the world where you can watch both the rising and setting of the sun as the land meets the sea.
When was St. Thomas Church built and what purpose does it serve now?,"St. Thomas Church was built in 1598 and after serving various purposes, it was renovated and transformed into a museum in 1992."
What is Charminar?,Charminar is a magnificent architectural masterpiece and a symbol of Hyderabad.
How high are the minarets of Charminar?,The minarets of Charminar reach 48.7 meters above ground level.
What values does Charminar embody?,"Charminar embodies historical, social, cultural, and economic values unique to Hyderabad."
What architectural styles are displayed in Charminar?,"Charminar displays Islamic architectural styles in its arches and domes, and Hindu architectural styles in its balconies and outside walls."
What kind of ornamentation is present on the balconies and outside walls of Charminar?,The balconies and outside walls of Charminar showcase intricate stucco floral ornamentation inspired by Hindu architecture.
What is the primary cultural significance of Charminar according to the document?,Charminar represents a harmonious union between Islamic and Hindu cultures.
How does the architecture of Charminar represent a union of cultures?,"The arches and domes display Islamic architectural styles, while the balconies and outside walls feature Hindu-inspired ornamentation, creating a blend of two cultures."
What does the document say about the location of the Taj Mahal?,This question cannot be answered based on the given document.
Why was the Charminar constructed?,This question cannot be answered based on the given document.
What is Delhi known for in terms of food?,"Delhi is known for its rich flavours and diverse culinary offerings, especially its legendary street food."
Name three must-try spots in Delhi for food lovers.,"Three must-try spots in Delhi for food lovers are Parathe Wali Gali for stuffed parathas, Chandni Chowk for Kallu Nihari's delightful nihari, and Rajinder Da Dhaba for galouti kebabs."
What kind of cuisine is Dharamsala heavily influenced by?,Dharamsala's food scene is heavily influenced by Tibetan culture.
What are some must-try Tibetan dishes in Dharamsala?,"Some must-try Tibetan dishes in Dharamsala are momo, thupkas, and shabley."
"What is Alleppey famous for, besides its cuisine?","Besides its cuisine, Alleppey is famous for its lush backwaters."
Which restaurant in Alleppey is popular among backpackers?,Harbour restaurant is a favourite for backpackers in Alleppey.
What are Hyderabad's most famous culinary offerings?,"Hyderabad is synonymous with its world-famous biryani, but its culinary offerings extend to haleem and seekh kebabs."
"Besides chaat, what other food items is Banaras known for?","Besides chaat, Banaras is known for ghee-dripping baati and sweet malaiyo."
What are some popular food items available around Vishwanath Gali in Banaras?,"Around Vishwanath Gali in Banaras, you can find cheese sandwiches, samosas, and jalebi."
"Apart from Mysore Pak, what other food items does Mysore offer?","Apart from Mysore Pak, Mysore also offers dosas, Gobi Manchurian, and fried chicken."
Name three dishes that exemplify Awadhi cuisine in Lucknow.,"Awadhi cuisine in Lucknow is exemplified by kebabs, biryani, and korma."
"Which shop in Aminabad, Lucknow, is famous for galawati kebabs?",Tunde in Aminabad is famous for galawati kebabs.
What are some of the best Punjabi cuisine offerings in Amritsar?,"Amritsar offers the best Punjabi cuisine, including parathas, lassi, and jalebi."
What local ingredients are used in preparing Pandi Curry in Coorg?,Pandi Curry (pork) in Coorg is prepared with local herbs and spices.
"What should every foodie try in Patna, and where can they find the most authentic versions?","Every foodie must try Litti-Chokha in Patna, and the streets around Patna Junction offer the most authentic versions."
What kind of food is Ahmedabad known for?,"Ahmedabad is known for vegetarian dishes like khakra, fafda, and dhokla."
Name three iconic street foods that Mumbai offers.,"Mumbai offers pav bhaji, vada pav, and misal pav as iconic street foods."
In what way does Chandigarh compete with Delhi?,Chandigarh rivals Delhi in its culinary offerings.
What Khasi dish is a must-try in Shillong?,"Jadoh, an authentic Khasi delicacy, is a must-try in Shillong."
What makes Pondicherry's cuisine unique?,Pondicherry offers a blend of South Indian and French cuisine.
Name three dishes that represent Srinagar's culinary scene.,"Srinagar's culinary scene includes yakhni, goshtaba, and rogan josh."
What type of cuisine dominates Puri?,Seafood dominates the cuisine in Puri.
What sweet treat is Agra widely known for?,Agra is known for its wide variety of petha.
"What culinary influences can be found in Baga, Goa?","Baga, Goa, offers a blend of Portuguese and Konkani cuisine."
What is Vizag also known as?,Vizag is also known as Visakhapatnam.
What are some unique culinary experiences offered in Kochi?,Kochi offers Latin-Christian cuisine at Arca Nova and ginger-based dishes at Ginger House Restaurant.
Which area of Bengaluru is famous for kebabs and biryanis?,Shivaji Nagar's lanes in Bengaluru are enchanted with kebabs and biryanis.
What culinary experience is available under the stars in Pushkar?,Campsites in Pushkar serve gatte ki sabzi under the stars.
What Marathi delicacies are offered by food vendors at Sinhagad Fort in Pune?,Sinhagad Fort's food vendors offer authentic Marathi delicacies.
What are the staple foods in Jodhpur's culinary tradition?,Ker Sangri and Bajra roti are staples in Jodhpur's culinary tradition.
What culinary influences define Tawang's cuisine?,Tawang's cuisine blends Arunachali and Tibetan influences.
What international cuisines are popular in Manali?,"Thin-crust pizza, coffee, and burgers are popular in Old Manali."
Name two famous culinary hotspots in Indore.,Chappan Dukan and Sarafa Bazaar are two famous culinary hotspots in Indore.
What are the main culinary influences in Gangtok?,"Gangtok blends Sikkimese, Tibetan, and Nepali flavors."
Does Agra have a culinary scene?,"Yes, Agra is known for its wide variety of petha, street-side biryani, and kebabs."
What is the general theme of this document?,"The document describes a culinary journey through various Indian cities, highlighting their unique flavors and specialties."
What causes backwaters in Alleppey?,This question cannot be answered based on the given document.
"Which restaurant offers karaoke and stunning views in Baga, Goa?",St. Anthony's Shack offers stunning views and karaoke.
What type of cuisine does Fiesta in Baga offer?,Fiesta is a must-visit for European cuisine lovers.
Where should you go for fried fish pakodas in Delhi?,"For fried fish pakodas, head to Ganesh in Karol Bagh."
How does the food in Dharamsala differ from the food in Chennai?,"Dharamsala's food scene is heavily influenced by Tibetan culture, while Chennai is a paradise for lovers of authentic South Indian cuisine."
What is Gangtok often referred to as?,The mystical jewel of the Eastern Himalayas
Where is Gangtok located?,"In the lap of the Himalayas, amidst the majestic peaks of Sikkim."
What makes Gangtok a unique destination?,"Gangtok is a symphony of sights, sounds, and sensations that will captivate your heart and soul."
What can visitors expect to find at Tashi View Point?,Breathtaking vistas and tranquil surroundings.
What kind of experience does Seven Sisters Waterfall offer?,An unforgettable experience filled with cascading waters and verdant landscapes.
What can visitors expect to see at the Himalayan Zoological Park?,Endangered species and indigenous wildlife.
What does the Namgyal Institute of Tibetology offer to travelers?,"Intellectual stimulation and cultural immersion, with a glimpse into innovation and learning in the Himalayas."
What is the purpose of the Bodhicharya Meditation Centre?,"It is a sanctuary for seekers of all backgrounds to explore the path of meditation, compassion, and wisdom."
What is Tsomgo Lake known for?,Its ethereal beauty and sacred allure.
What does Phodong Monastery offer to visitors?,A journey of serenity and tranquility.
What is Do Drul Chorten?,A sacred sanctuary of peace and serenity.
What is the altitude of Nathu La Pass?,"4,310 metres"
What did Nathu La Pass serve as?,A part of the ancient Silk Route.
What does Ganesh Tok offer besides spiritual solace?,Breathtaking panoramic views of the surrounding Himalayan landscapes.
What other name is Lingdum Monastery known by?,Ranka Monastery
Who is the Baba Harbhajan Singh Memorial dedicated to?,"Baba Harbhajan Singh, a revered soldier of the Indian Army."
List the monasteries mentioned in the document.,"Phodong Monastery, Lingdum Monastery (Ranka Monastery)"
What kind of government does Gangtok have?,This question cannot be answered based on the given document.
What is Chandigarh known as?,Chandigarh is known as India's first planned city and the 'City Beautiful'.
Who envisioned Chandigarh's design?,The Swiss-French architect Le Corbusier envisioned Chandigarh's design.
What are the defining features of Chandigarh's urban layout?,"Chandigarh's urban layout is characterized by wide, tree-lined avenues and well-defined sectors, offering a sense of peace and tranquility, complemented by a serene lake and expansive green spaces."
What makes Chandigarh more than just stunning aesthetics?,"Chandigarh is more than just stunning aesthetics because it offers a perfect combination of urbanization and conservation of natural beauty and is a vibrant hub of culture, art, and gastronomic delights."
What is the Sukhna Wildlife Sanctuary?,"The Sukhna Wildlife Sanctuary spans a vast 2,600 hectares and offers a glimpse into the region's rich ecological treasures."
What is the purpose of the Sukhna Wildlife Sanctuary?,"The Sukhna Wildlife Sanctuary was created to protect, propagate, and nurture the delicate balance of flora and fauna in the region."
When was Sukhna Lake created and how?,"Sukhna Lake was created in 1958 when the Sukhna Choe, a seasonal stream originating from the Shivalik Hills, was dammed."
What rules are in place to maintain the tranquility of Sukhna Lake?,"To maintain its tranquility, motorboats are forbidden on the water, and vehicular traffic is prohibited on the dam’s promenade."
What type of sculptures and paintings does the Government Museum and Art Gallery in Chandigarh house?,The Government Museum and Art Gallery houses a dazzling collection of Gandharan sculptures and exquisite Pahari and Rajasthani miniature paintings.
When was the Government Museum and Art Gallery inaugurated in Chandigarh?,The Government Museum and Art Gallery was inaugurated in 1968.
What kind of place is Sector 17 in Chandigarh?,"Sector 17 Plaza is a bustling hub filled with energy and excitement, with a mix of shops, eateries, and an entertainment venue."
When was the Hibiscus Garden opened to the public and what role did it play in Chandigarh's reputation?,The Hibiscus Garden was opened to the public in 1974 and played a pivotal role in transforming Chandigarh into the renowned “City of Gardens.”
When was the Garden of Fragrance established?,The Garden of Fragrance was established in 1998.
When was Chhatbir Zoo established and what is it also known as?,"Chhatbir Zoo was established in 1977 and is officially known as the Mahendra Chaudhary Zoological Park, but locals refer to it as Chhatbir Zoo."
How large is the Chhatbir Zoo and what can you find there?,"Chhatbir Zoo spans 202 acres and houses over 1,000 species of animals and birds, including endangered and rare wildlife, primates, big cats, deer, antelope, zebras, hippopotamuses, and crocodiles."
When was the Zakir Hussain Rose Garden established and how many rose bushes does it contain?,"The Zakir Hussain Rose Garden was established in 1967 and contains 50,000 rose bushes, representing 1600 diverse species."
When was the Rock Garden created and who created it?,"The Rock Garden was created in 1957 by Nek Chand, a former road inspector."
How large is the Rock Garden and what is unique about it?,The Rock Garden is spread across 40 acres and is unique because it transforms discarded remnants into breathtaking works of art.
Compare the size of Sukhna Wildlife Sanctuary and Chhatbir Zoo.,"Sukhna Wildlife Sanctuary spans 2,600 hectares, while Chhatbir Zoo spans 202 acres."
How does Sukhna Lake contribute to Chandigarh's beauty?,"Sukhna Lake contributes to Chandigarh's beauty by providing a serene oasis at the foothills of the Shivalik Hills, enhancing the city's tranquility."
"What is the combined area of Zakir Hussain Rose Garden, Hibiscus Garden, and Rock Garden?","The Zakir Hussain Rose Garden spans over 30 acres, the Hibiscus Garden spans 8 acres, and the Rock Garden spans 40 acres, so the combined area is 78 acres."
What is the capital of France?,This question cannot be answered based on the given document.
Why is motorboat usage restricted on Sukhna Lake?,Motorboat usage is restricted to preserve the lake's pristine beauty and tranquility.
What is Guwahati known as?,Guwahati is known as the “Gateway to North East India” and “The City of Temples.”
Which river flows through Guwahati?,The Brahmaputra River flows through Guwahati.
What is the significance of the Guwahati War Cemetery?,The Guwahati War Cemetery serves as a reminder of the heavy price paid for war and the debt owed to those who fought.
How does Pobitora Wildlife Sanctuary compare to Kaziranga National Park in terms of rhinoceros density?,Pobitora Wildlife Sanctuary has a higher density of the Greater One Horned Rhinoceros than Kaziranga National Park.
